	highly_variable	chrom	manual_annotation_peaks	leiden_v1_r1
1-30119-30406	True	1	optic_cup_early	8
1-102102-102943	True	1	hatching_gland	6
1-128797-129190	True	1	optic_cup_early	0
1-217215-217640	True	1	hatching_gland	6
1-256849-257455	True	1	optic_cup_early	0
1-299178-299377	True	1	unassigned	28
1-348380-348950	True	1	tail_bud_late	1
1-357091-357998	True	1	tail_bud_late	1
1-369386-370057	True	1	optic_cup_early	0
1-424062-424507	True	1	hatching_gland	6
1-471126-472745	True	1	muscle	9
1-483643-484417	True	1	tail_bud_late	1
1-565567-566156	True	1	optic_cup_early	0
1-569235-569527	True	1	unassigned	2
1-660248-661137	True	1	optic_cup_early	20
1-663191-664254	True	1	lateral_plate	20
1-679229-681654	True	1	PSM	3
1-695172-695613	True	1	tail_bud_late	1
1-706447-706715	True	1	unassigned	4
1-716440-717118	True	1	tail_bud_late	11
1-736404-736701	True	1	unassigned	2
1-744682-745404	True	1	tail_bud_late	1
1-751029-751498	True	1	optic_cup_early	22
1-800014-800267	True	1	unassigned	10
1-803100-803299	True	1	unassigned	27
1-879994-880509	True	1	lateral_plate	20
1-899672-900353	True	1	unassigned	20
1-975629-976518	True	1	optic_cup_early	0
1-1021104-1021595	True	1	unassigned	2
1-1047519-1048374	True	1	unassigned	17
1-1059188-1059393	True	1	unassigned	26
1-1065777-1066420	True	1	tail_bud_late	1
1-1069750-1070045	True	1	unassigned	5
1-1084467-1085152	True	1	tail_bud_late	1
1-1089890-1090129	True	1	unassigned	17
1-1141452-1143449	True	1	unassigned	12
1-1148307-1148771	True	1	unassigned	16
1-1162478-1163207	True	1	unassigned	13
1-1163652-1164097	True	1	unassigned	18
1-1207282-1207498	True	1	unassigned	18
1-1216289-1216558	True	1	unassigned	5
1-1263817-1264016	True	1	tail_bud_late	11
1-1269420-1269919	True	1	unassigned	7
1-1288364-1288837	True	1	unassigned	5
1-1323734-1324044	True	1	unassigned	2
1-1382401-1382742	True	1	optic_cup_early	0
1-1399489-1400437	True	1	unassigned	16
1-1417100-1417577	True	1	enteric_neurons	23
1-1468138-1468661	True	1	hemangioblasts	8
1-1477399-1477883	True	1	hemangioblasts	8
1-1520637-1522360	True	1	hemangioblasts	8
1-1536223-1537130	True	1	tail_bud_late	1
1-1537482-1537827	True	1	hemangioblasts	8
1-1574624-1575641	True	1	optic_cup_early	3
1-1609122-1609491	True	1	unassigned	13
1-1620143-1620630	True	1	unassigned	7
1-1633488-1633778	True	1	optic_cup_early	0
1-1633988-1634713	True	1	optic_cup_early	0
1-1647316-1647675	True	1	unassigned	18
1-1653026-1653421	True	1	unassigned	7
1-1692631-1692830	True	1	unassigned	24
1-1814995-1815210	True	1	unassigned	18
1-1818132-1818571	True	1	tail_bud_late	11
1-1837995-1838199	True	1	unassigned	30
1-1853493-1853891	True	1	tail_bud_late	11
1-1956928-1957707	True	1	tail_bud_late	1
1-1987035-1987813	True	1	tail_bud_late	1
1-1991722-1992022	True	1	unassigned	4
1-2054675-2055274	True	1	tail_bud_late	1
1-2055561-2056286	True	1	tail_bud_late	1
1-2061079-2061415	True	1	unassigned	30
1-2089860-2091486	True	1	optic_cup_early	1
1-2167120-2167607	True	1	unassigned	15
1-2172113-2173007	True	1	optic_cup_early	22
1-2263467-2264401	True	1	optic_cup_early	0
1-2313763-2314143	True	1	optic_cup_early	0
1-2430912-2431998	True	1	tail_bud_late	1
1-2439932-2440143	True	1	unassigned	7
1-2520868-2521638	True	1	muscle	12
1-2574285-2574636	True	1	unassigned	2
1-2582067-2582308	True	1	unassigned	9
1-2585750-2586193	True	1	unassigned	13
1-2589682-2590109	True	1	tail_bud_late	11
1-2590246-2590521	True	1	tail_bud_late	11
1-2592893-2593287	True	1	unassigned	4
1-2613974-2614550	True	1	unassigned	29
1-2622204-2622708	True	1	unassigned	5
1-2622876-2623142	True	1	unassigned	25
1-2627223-2627685	True	1	tail_bud_late	1
1-2646453-2646941	True	1	optic_cup_early	0
1-2666234-2666445	True	1	unassigned	14
1-2680885-2681262	True	1	unassigned	17
1-2684001-2684215	True	1	unassigned	14
1-2689140-2689748	True	1	unassigned	28
1-2696399-2696862	True	1	unassigned	5
1-2707553-2707842	True	1	unassigned	10
1-2722771-2723207	True	1	tail_bud_late	11
1-2726599-2727626	True	1	tail_bud_late	1
1-2743314-2743716	True	1	unassigned	4
1-2755754-2756239	True	1	unassigned	16
1-2769185-2769868	True	1	unassigned	2
1-2793627-2794587	True	1	unassigned	14
1-2812761-2813245	True	1	unassigned	4
1-2824490-2825217	True	1	unassigned	4
1-2825506-2825837	True	1	unassigned	8
1-2868779-2869146	True	1	unassigned	23
1-2893649-2893919	True	1	unassigned	14
1-2899213-2899903	True	1	optic_cup_early	0
1-2929322-2929760	True	1	unassigned	2
1-2947195-2947763	True	1	tail_bud_late	1
1-2956610-2956848	True	1	tail_bud_late	11
1-2990213-2990493	True	1	unassigned	4
1-3011557-3012094	True	1	unassigned	24
1-3019656-3020041	True	1	unassigned	5
1-3055848-3056090	True	1	unassigned	7
1-3065209-3065626	True	1	unassigned	2
1-3093754-3094137	True	1	tail_bud_late	11
1-3100606-3100997	True	1	unassigned	4
1-3123135-3123726	True	1	unassigned	2
1-3188684-3189416	True	1	tail_bud_late	1
1-3191116-3191380	True	1	unassigned	25
1-3218710-3218939	True	1	unassigned	5
1-3234161-3234445	True	1	tail_bud_late	1
1-3305516-3306577	True	1	floor_plate	3
1-3418041-3418932	True	1	tail_bud_late	1
1-3429936-3430473	True	1	unassigned	2
1-3434402-3434693	True	1	unassigned	23
1-3436818-3437230	True	1	unassigned	17
1-3473998-3474675	True	1	unassigned	2
1-3488908-3489121	True	1	unassigned	29
1-3512438-3513061	True	1	tail_bud_late	1
1-3514544-3515040	True	1	unassigned	2
1-3572275-3572967	True	1	unassigned	18
1-3642085-3642867	True	1	optic_cup_early	0
1-3663473-3664378	True	1	tail_bud_late	1
1-3708847-3709121	True	1	unassigned	4
1-3711424-3712111	True	1	tail_bud_late	11
1-3732294-3732687	True	1	unassigned	19
1-3749201-3749707	True	1	unassigned	2
1-3766141-3766464	True	1	unassigned	14
1-3783856-3784202	True	1	unassigned	29
1-3832488-3833015	True	1	unassigned	13
1-3848844-3849722	True	1	tail_bud_late	1
1-3863265-3863745	True	1	unassigned	16
1-3872961-3873311	True	1	unassigned	17
1-3874163-3874581	True	1	unassigned	27
1-3892451-3892780	True	1	unassigned	4
1-3918158-3918432	True	1	unassigned	14
1-3944363-3944880	True	1	unassigned	16
1-3967267-3967466	True	1	unassigned	26
1-3972640-3973274	True	1	tail_bud_late	1
1-3976906-3977440	True	1	unassigned	25
1-3998214-3998701	True	1	unassigned	5
1-4000625-4001464	True	1	unassigned	7
1-4004662-4004883	True	1	unassigned	24
1-4005020-4005637	True	1	tail_bud_late	1
1-4007056-4007616	True	1	tail_bud_late	11
1-4011195-4011913	True	1	unassigned	25
1-4018777-4019111	True	1	unassigned	19
1-4034354-4034657	True	1	unassigned	24
1-4040082-4040631	True	1	unassigned	15
1-4070807-4071133	True	1	unassigned	2
1-4081453-4082004	True	1	optic_cup_early	0
1-4083268-4084283	True	1	optic_cup_early	0
1-4218042-4218583	True	1	unassigned	16
1-4219368-4219567	True	1	unassigned	19
1-4228358-4229273	True	1	unassigned	4
1-4243662-4244566	True	1	optic_cup_early	0
1-4258793-4260163	True	1	unassigned	10
1-4264344-4264848	True	1	unassigned	30
1-4291179-4292173	True	1	unassigned	3
1-4344802-4345387	True	1	tail_bud_late	1
1-4348436-4349447	True	1	unassigned	13
1-4360411-4360810	True	1	unassigned	22
1-4379756-4380409	True	1	unassigned	10
1-4388559-4389043	True	1	optic_cup_early	0
1-4447668-4447879	True	1	unassigned	13
1-4474866-4475892	True	1	PSM	12
1-4477128-4478217	True	1	tail_bud_late	1
1-4482076-4483216	True	1	optic_cup_early	0
1-4516700-4517331	True	1	unassigned	7
1-4537127-4537790	True	1	unassigned	26
1-4572387-4572943	True	1	tail_bud_late	1
1-4582688-4583135	True	1	tail_bud_late	11
1-4594555-4595091	True	1	unassigned	21
1-4613090-4613314	True	1	unassigned	6
1-4641231-4641624	True	1	unassigned	6
1-4658912-4659604	True	1	unassigned	16
1-4667007-4667741	True	1	enteric_neurons	23
1-4669417-4670123	True	1	diff_neurons	23
1-4682590-4683339	True	1	optic_cup_early	0
1-4694192-4694829	True	1	unassigned	2
1-4705707-4706101	True	1	unassigned	4
1-4717252-4717709	True	1	unassigned	5
1-4717888-4718457	True	1	tail_bud_late	11
1-4748337-4748818	True	1	unassigned	13
1-4765967-4766640	True	1	unassigned	16
1-4772040-4772370	True	1	unassigned	19
1-4801332-4801676	True	1	unassigned	5
1-4822894-4823470	True	1	tail_bud_late	1
1-4859747-4860228	True	1	optic_cup_early	0
1-4884503-4884731	True	1	unassigned	32
1-4885654-4886010	True	1	unassigned	27
1-4895773-4896826	True	1	optic_cup_early	0
1-4902314-4903657	True	1	unassigned	2
1-4908389-4908825	True	1	unassigned	5
1-4914805-4915659	True	1	unassigned	7
1-4916405-4917354	True	1	unassigned	13
1-4935550-4936197	True	1	tail_bud_late	1
1-4948743-4949341	True	1	unassigned	22
1-4976748-4977335	True	1	unassigned	5
1-5023030-5023521	True	1	unassigned	7
1-5064730-5065298	True	1	unassigned	22
1-5087350-5088305	True	1	tail_bud_late	1
1-5100314-5101266	True	1	tail_bud_late	1
1-5118844-5119568	True	1	unassigned	12
1-5155483-5156051	True	1	unassigned	16
1-5163715-5164577	True	1	unassigned	15
1-5175829-5176028	True	1	optic_cup_early	0
1-5200322-5200881	True	1	PSM	12
1-5203725-5204311	True	1	midbrain_hindbrain_boundary	3
1-5211737-5212465	True	1	optic_cup_early	0
1-5238410-5238960	True	1	PSM	12
1-5268057-5269190	True	1	unassigned	3
1-5320613-5321844	True	1	unassigned	3
1-5462074-5462787	True	1	unassigned	18
1-5465437-5466133	True	1	NMPs	12
1-5528586-5529671	True	1	PSM	12
1-5532703-5532974	True	1	tail_bud_late	1
1-5537334-5538259	True	1	NMPs	12
1-5562263-5563093	True	1	muscle	12
1-5578372-5578739	True	1	unassigned	28
1-5586182-5586527	True	1	unassigned	21
1-5588250-5588760	True	1	optic_cup_early	0
1-5593928-5594715	True	1	tail_bud_late	1
1-5605594-5607081	True	1	PSM	12
1-5633881-5634569	True	1	unassigned	9
1-5652563-5653289	True	1	unassigned	15
1-5659483-5660374	True	1	unassigned	20
1-5795662-5796081	True	1	unassigned	20
1-5830411-5831108	True	1	tail_bud_late	1
1-5835001-5835715	True	1	optic_cup_early	0
1-5846602-5847253	True	1	optic_cup_early	0
1-5850924-5851534	True	1	optic_cup_early	23
1-5868226-5869271	True	1	optic_cup_early	0
1-5869368-5869567	True	1	optic_cup_early	0
1-5872305-5873061	True	1	optic_cup_early	0
1-5932134-5932541	True	1	tail_bud_late	1
1-5956156-5956515	True	1	tail_bud_late	1
1-6027377-6028107	True	1	tail_bud_late	1
1-6065398-6065934	True	1	optic_cup_early	22
1-6109015-6109545	True	1	optic_cup_early	0
1-6121514-6121893	True	1	tail_bud_late	1
1-6132172-6132677	True	1	optic_cup_early	0
1-6227028-6227409	True	1	optic_cup_early	0
1-6268683-6269532	True	1	unassigned	16
1-6294934-6295356	True	1	hatching_gland	6
1-6299824-6300023	True	1	unassigned	19
1-6315686-6316027	True	1	diff_neurons	23
1-6318383-6319034	True	1	unassigned	7
1-6324552-6324759	True	1	enteric_neurons	23
1-6344735-6345012	True	1	unassigned	4
1-6373754-6374549	True	1	tail_bud_late	1
1-6381087-6381316	True	1	unassigned	17
1-6407807-6408805	True	1	midbrain_hindbrain_boundary	3
1-6453138-6454190	True	1	diff_neurons	3
1-6505700-6506983	True	1	enteric_neurons	23
1-6539095-6539841	True	1	unassigned	23
1-6586353-6586792	True	1	unassigned	4
1-6685595-6686236	True	1	tail_bud_late	1
1-6701036-6701888	True	1	unassigned	13
1-6717353-6717869	True	1	unassigned	22
1-6723212-6723670	True	1	unassigned	17
1-6745760-6746679	True	1	unassigned	5
1-6752255-6752615	True	1	enteric_neurons	23
1-6771030-6771300	True	1	unassigned	24
1-6785108-6786157	True	1	tail_bud_late	1
1-6789215-6789716	True	1	unassigned	4
