loc	cluster
chr1:30119-30406	1
chr1:102102-102943	7
chr1:128797-129190	1
chr1:217215-217640	7
chr1:256849-257455	1
chr1:299178-299377	22
chr1:348380-348950	0
chr1:357091-357998	0
chr1:369386-370057	1
chr1:424062-424507	7
chr1:471126-472745	11
chr1:483643-484417	0
chr1:565567-566156	1
chr1:569235-569527	2
chr1:660248-661137	17
chr1:663191-664254	17
chr1:679229-681654	3
chr1:695172-695613	0
chr1:706447-706715	8
chr1:716440-717118	0
chr1:736404-736701	22
chr1:744682-745404	0
chr1:751029-751498	20
chr1:800014-800267	10
chr1:803100-803299	25
chr1:879994-880509	17
chr1:899672-900353	17
chr1:975629-976518	1
chr1:1021104-1021595	2
chr1:1047519-1048374	27
chr1:1059188-1059393	26
chr1:1065777-1066420	0
chr1:1069750-1070045	5
chr1:1084467-1085152	0
chr1:1089890-1090129	30
chr1:1141452-1143449	8
chr1:1148307-1148771	33
chr1:1162478-1163207	12
chr1:1163652-1164097	15
chr1:1207282-1207498	15
chr1:1216289-1216558	5
chr1:1263817-1264016	0
chr1:1269420-1269919	19
chr1:1288364-1288837	5
chr1:1323734-1324044	2
chr1:1382401-1382742	1
chr1:1399489-1400437	8
chr1:1417100-1417577	21
chr1:1468138-1468661	9
chr1:1477399-1477883	9
chr1:1520637-1522360	9
chr1:1536223-1537130	0
chr1:1537482-1537827	9
chr1:1574624-1575641	1
chr1:1609122-1609491	12
chr1:1620143-1620630	28
chr1:1633488-1633778	1
chr1:1633988-1634713	1
chr1:1647316-1647675	15
chr1:1653026-1653421	19
chr1:1692631-1692830	23
chr1:1814995-1815210	15
chr1:1818132-1818571	0
chr1:1837995-1838199	31
chr1:1853493-1853891	0
chr1:1956928-1957707	0
chr1:1987035-1987813	0
chr1:1991722-1992022	4
chr1:2054675-2055274	0
chr1:2055561-2056286	0
chr1:2061079-2061415	31
chr1:2089860-2091486	1
chr1:2167120-2167607	14
chr1:2172113-2173007	20
chr1:2263467-2264401	1
chr1:2313763-2314143	1
chr1:2430912-2431998	0
chr1:2439932-2440143	28
chr1:2520868-2521638	8
chr1:2574285-2574636	2
chr1:2582067-2582308	24
chr1:2585750-2586193	12
chr1:2589682-2590109	0
chr1:2590246-2590521	0
chr1:2592893-2593287	4
chr1:2613974-2614550	29
chr1:2622204-2622708	5
chr1:2622876-2623142	24
chr1:2627223-2627685	0
chr1:2646453-2646941	1
chr1:2666234-2666445	13
chr1:2680885-2681262	24
chr1:2684001-2684215	13
chr1:2689140-2689748	22
chr1:2696399-2696862	5
chr1:2707553-2707842	10
chr1:2722771-2723207	0
chr1:2726599-2727626	0
chr1:2743314-2743716	4
chr1:2755754-2756239	32
chr1:2769185-2769868	22
chr1:2793627-2794587	13
chr1:2812761-2813245	4
chr1:2824490-2825217	4
chr1:2825506-2825837	9
chr1:2868779-2869146	21
chr1:2893649-2893919	13
chr1:2899213-2899903	1
chr1:2929322-2929760	2
chr1:2947195-2947763	0
chr1:2956610-2956848	0
chr1:2990213-2990493	4
chr1:3011557-3012094	23
chr1:3019656-3020041	5
chr1:3055848-3056090	19
chr1:3065209-3065626	2
chr1:3093754-3094137	0
chr1:3100606-3100997	4
chr1:3123135-3123726	2
chr1:3188684-3189416	0
chr1:3191116-3191380	24
chr1:3218710-3218939	5
chr1:3234161-3234445	0
chr1:3305516-3306577	3
chr1:3418041-3418932	0
chr1:3429936-3430473	2
chr1:3434402-3434693	21
chr1:3436818-3437230	30
chr1:3473998-3474675	2
chr1:3488908-3489121	29
chr1:3512438-3513061	0
chr1:3514544-3515040	2
chr1:3572275-3572967	15
chr1:3642085-3642867	1
chr1:3663473-3664378	0
chr1:3708847-3709121	4
chr1:3711424-3712111	0
chr1:3732294-3732687	16
chr1:3749201-3749707	2
chr1:3766141-3766464	13
chr1:3783856-3784202	29
chr1:3832488-3833015	12
chr1:3848844-3849722	0
chr1:3863265-3863745	32
chr1:3872961-3873311	27
chr1:3874163-3874581	25
chr1:3892451-3892780	4
chr1:3918158-3918432	13
chr1:3944363-3944880	32
chr1:3967267-3967466	26
chr1:3972640-3973274	0
chr1:3976906-3977440	24
chr1:3998214-3998701	14
chr1:4000625-4001464	19
chr1:4004662-4004883	23
chr1:4005020-4005637	0
chr1:4007056-4007616	0
chr1:4011195-4011913	24
chr1:4018777-4019111	16
chr1:4034354-4034657	23
chr1:4040082-4040631	14
chr1:4070807-4071133	2
chr1:4081453-4082004	1
