	sub_clusters_manual
1-30119-30406	unassigned
1-102102-102943	unassigned
1-128797-129190	sub_clust_5
1-217215-217640	unassigned
1-256849-257455	sub_clust_2
1-299178-299377	unassigned
1-348380-348950	unassigned
1-357091-357998	unassigned
1-369386-370057	sub_clust_2
1-424062-424507	unassigned
1-471126-472745	unassigned
1-483643-484417	unassigned
1-565567-566156	sub_clust_2
1-569235-569527	unassigned
1-660248-661137	sub_clust_3
1-663191-664254	unassigned
1-679229-681654	unassigned
1-695172-695613	unassigned
1-706447-706715	unassigned
1-716440-717118	unassigned
1-736404-736701	unassigned
1-744682-745404	unassigned
1-751029-751498	sub_clust_0
1-800014-800267	unassigned
1-803100-803299	unassigned
1-879994-880509	unassigned
1-899672-900353	unassigned
1-975629-976518	sub_clust_3
1-1021104-1021595	unassigned
1-1047519-1048374	unassigned
1-1059188-1059393	unassigned
1-1065777-1066420	unassigned
1-1069750-1070045	unassigned
1-1084467-1085152	unassigned
1-1089890-1090129	unassigned
1-1141452-1143449	unassigned
1-1148307-1148771	unassigned
1-1162478-1163207	unassigned
1-1163652-1164097	unassigned
1-1207282-1207498	unassigned
1-1216289-1216558	unassigned
1-1263817-1264016	unassigned
1-1269420-1269919	unassigned
1-1288364-1288837	unassigned
1-1323734-1324044	unassigned
1-1382401-1382742	sub_clust_5
1-1399489-1400437	unassigned
1-1417100-1417577	unassigned
1-1468138-1468661	unassigned
1-1477399-1477883	unassigned
1-1520637-1522360	unassigned
1-1536223-1537130	unassigned
1-1537482-1537827	unassigned
1-1574624-1575641	sub_clust_2
1-1609122-1609491	unassigned
1-1620143-1620630	unassigned
1-1633488-1633778	sub_cluster_4
1-1633988-1634713	sub_clust_5
1-1647316-1647675	unassigned
1-1653026-1653421	unassigned
1-1692631-1692830	unassigned
1-1814995-1815210	unassigned
1-1818132-1818571	unassigned
1-1837995-1838199	unassigned
1-1853493-1853891	unassigned
1-1956928-1957707	unassigned
1-1987035-1987813	unassigned
1-1991722-1992022	unassigned
1-2054675-2055274	unassigned
1-2055561-2056286	unassigned
1-2061079-2061415	unassigned
1-2089860-2091486	unassigned
1-2167120-2167607	unassigned
1-2172113-2173007	sub_clust_0
1-2263467-2264401	sub_cluster_4
1-2313763-2314143	sub_clust_2
1-2430912-2431998	unassigned
1-2439932-2440143	unassigned
1-2520868-2521638	unassigned
1-2574285-2574636	unassigned
1-2582067-2582308	unassigned
1-2585750-2586193	unassigned
1-2589682-2590109	unassigned
1-2590246-2590521	unassigned
1-2592893-2593287	unassigned
1-2613974-2614550	unassigned
1-2622204-2622708	unassigned
1-2622876-2623142	unassigned
1-2627223-2627685	unassigned
1-2646453-2646941	sub_clust_3
1-2666234-2666445	unassigned
1-2680885-2681262	unassigned
1-2684001-2684215	unassigned
1-2689140-2689748	unassigned
1-2696399-2696862	unassigned
1-2707553-2707842	unassigned
1-2722771-2723207	unassigned
1-2726599-2727626	unassigned
1-2743314-2743716	unassigned
1-2755754-2756239	unassigned
1-2769185-2769868	unassigned
1-2793627-2794587	unassigned
1-2812761-2813245	unassigned
1-2824490-2825217	unassigned
1-2825506-2825837	unassigned
1-2868779-2869146	unassigned
1-2893649-2893919	unassigned
1-2899213-2899903	sub_clust_1
1-2929322-2929760	unassigned
1-2947195-2947763	unassigned
1-2956610-2956848	unassigned
1-2990213-2990493	unassigned
1-3011557-3012094	unassigned
1-3019656-3020041	unassigned
1-3055848-3056090	unassigned
1-3065209-3065626	unassigned
1-3093754-3094137	unassigned
1-3100606-3100997	unassigned
1-3123135-3123726	unassigned
1-3188684-3189416	unassigned
1-3191116-3191380	unassigned
1-3218710-3218939	unassigned
1-3234161-3234445	unassigned
1-3305516-3306577	unassigned
1-3418041-3418932	unassigned
1-3429936-3430473	unassigned
1-3434402-3434693	unassigned
1-3436818-3437230	unassigned
1-3473998-3474675	unassigned
1-3488908-3489121	unassigned
1-3512438-3513061	unassigned
1-3514544-3515040	unassigned
1-3572275-3572967	unassigned
1-3642085-3642867	sub_clust_1
1-3663473-3664378	unassigned
1-3708847-3709121	unassigned
1-3711424-3712111	unassigned
1-3732294-3732687	unassigned
1-3749201-3749707	unassigned
1-3766141-3766464	unassigned
1-3783856-3784202	unassigned
1-3832488-3833015	unassigned
1-3848844-3849722	unassigned
1-3863265-3863745	unassigned
1-3872961-3873311	unassigned
1-3874163-3874581	unassigned
1-3892451-3892780	unassigned
